"Enlace", "categoria"
"https://epja.mineduc.cl/que-es-la-validacion-de-estudios-para-mayores-de-18-anos/" ,"educacion"
"https://www.junaeb.cl/becas-educacion-superior" ,"educacion"
"https://postulacion.beneficiosestudiantiles.cl/fuas/" ,"educacion"
"https://portal.beneficiosestudiantiles.cl/gratuidad" ,"educacion"
"https://portal.ingresa.cl/","educacion"
"http://www.registrosocial.gob.cl/" ,"educacion"
"https://epja.mineduc.cl/que-es-la-validacion-de-estudios-para-mayores-de-18-anos/","educacion"
"https://www.ayudamineduc.cl/ficha/nivelacion-de-estudios-basicos-y-medios-modalidad-flexible-6","educacion"
"https://www.fonasa.cl/sites/fonasa/tramos", "salud"
"http://www.supersalud.gob.cl/difusion/665/w3-propertyvalue-1962.html", "salud"
"https://dipol.minsal.cl/departamentos-2/nutricion-y-alimentos/programas-alimentarios/", "salud"
"https://diprece.minsal.cl/programas-de-salud/programa-vih-sida-e-its/", "salud"
"https://vacunas.minsal.cl/", "salud"
"https://www.cenabast.cl/ley-cenabast-remedios-mas-baratos-y-de-calidad/", "salud"
"https://www.fosis.gob.cl/es/programas/programa-familias/", "Ofertas en Redes y Cohesión Social"
"https://bonosdelgobierno.com/bono-de-proteccion-para-jefas-de-hogar-o-duenas-de-casa/", "Ofertas en Redes y Cohesión Social"
"https://www.prodemu.cl/ruta-del-empoderamiento-digital/", "Ofertas en Redes y Cohesión Social"
"https://www.prodemu.cl/ruta-de-la-cultura/", "Ofertas en Redes y Cohesión Social"
"https://www.prodemu.cl/ruta-del-desarrollo-personal/, "Ofertas en Redes y Cohesión Social"
"https://www.previsionsocial.gob.cl/sps/seguridad-social/sst/" ,"Ofertas en Trabajo y Seguridad Social"
"http://www.senama.gob.cl/escuela-formacion-dirigentes" ,"Ofertas en Trabajo y Seguridad Social"
"https://www.bcn.cl/leychile/navegar?idNorma=167766" ,"Ofertas en Trabajo y Seguridad Social"
"https://www.suseso.cl/613/w3-propertyvalue-136801.html#:~:text=El%20Seguro%20Social%20contra%20Riesgos,trayecto%20y%20a%20las%20enfermedades%20profesionales." ,"Ofertas en Trabajo y Seguridad Social"
"https://www.previsionsocial.gob.cl/sps/organizaciones/empresas-y-empleadores/","Ofertas en Trabajo y Seguridad Social"
"https://www.corfo.cl/sites/cpp/convocatorias/credito_corfo_mipyme" ,"Ofertas en Trabajo y Seguridad Social"
"https://bonosdelgobierno.com/bono-adicional-mypes-2021-en-que-consiste-y-quienes-pueden-solicitarlo/" ,"Ofertas en Trabajo y Seguridad Social"
"https://www.fosis.gob.cl/es/programas/emprendimiento/" ,"Ofertas en Trabajo y Seguridad Social"
"https://www.sercotec.cl/reactivate-pyme/" ,"Ofertas en Trabajo y Seguridad Social"
"https://www.bancoestado.cl/imagenes/_microempresas/productos/fomento/yo-emprendo.asp" ,"Ofertas en Trabajo y Seguridad Social"
"https://www.bancoestado.cl/imagenes/_microempresas/productos/fomento/programa-emprendimiento-local.asp" ,"Ofertas en Trabajo y Seguridad Social"
"https://www.fosis.gob.cl/es/programas/programa-habitabilidad/" ,"Ofertas en Vivienda y Entorno"
"https://www.chileatiende.gob.cl/fichas/51314-subsidio-al-pago-de-consumo-de-agua-potable-y-servicio-de-alcantarillado" ,"Ofertas en Vivienda y Entorno"
"https://www.minvu.gob.cl/beneficios/comprar-una-vivienda/" ,"Ofertas en Vivienda y Entorno"
"https://www.minvu.gob.cl/beneficio/ciudad/vive-tu-vereda-programa-de-pavimentacion-participativa-d-s-n114/" ,"Ofertas en Vivienda y Entorno"
"https://www.minvu.gob.cl/beneficios/recuperacion_de_barrios/" ,"Ofertas en Vivienda y Entorno"
"https://www.minvu.gob.cl/beneficio/vivienda/informacion-para-el-arrendador/" ,"Ofertas en Vivienda y Entorno"
"https://bonosdelgobierno.com/giftcard-minvu-de-un-millon-de-pesos-para-mejorar-tu-vivienda-como-postular/" ,"Ofertas en Vivienda y Entorno" 
"https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU220" ,"Ofertas en Vivienda y Entorno"
"https://www.reddeproteccion.cl/cuestionario/fichas" ,"Ofertas en Vivienda y Entorno"
"https://datos.gob.cl/dataset?ext_begin_date=&ext_end_date=&q=&sort=score+desc%2C+metadata_modified+desc" ,"Ofertas en Vivienda y Entorno"
"https://www.fosis.gob.cl/es/", "Principales Instituciones"
"https://www.corfo.cl/sites/cpp/homecorfo", "Principales Instituciones"
"https://www.sercotec.cl/", "Principales Instituciones"
"https://www.minvu.gob.cl/", "Principales Instituciones"
"https://www.desarrollosocialyfamilia.gob.cl/", "Principales Instituciones"



